id;edad;estudios;sexo;prueba;media;desviacion;zscore_id
1;106;SUPERIORES;Hombre;gold evolve Forint;33200;48529;1
2;101;LEER_Y_ESCRIBIR_Y_4_REGLAS;Mujer;innovate;20971;82890;2
3;67;SECUNDARIOS;Hombre;compress Front-line visualize;75126;10847;3
4;63;LEER_Y_ESCRIBIR_Y_4_REGLAS;Hombre;haptic Savings Account Quality;86680;17875;4
5;101;SUPERIORES;Hombre;Ports Senior relationships;12511;51439;5
6;92;SUPERIORES;Mujer;integrate;57729;33321;6
7;77;PRIMARIOS;Hombre;Metal Coves;11774;97108;7
8;86;ILETRADO;Hombre;bypass;98842;59166;8
9;92;LEER_Y_ESCRIBIR;Mujer;Operative;88513;10900;9
10;116;PRIMARIOS;Mujer;payment Heights;67369;76875;10
