id;nombre;limite;superarlo
1;Unbranded Cotton Chicken Junctions Handmade Concrete Cheese;2020-02-28T08:35:45;true
2;Frozen Avon;2020-02-28T13:49:56;false
3;projection Burundi Franc Assurance;2020-02-27T20:18:19;false
4;Computers leverage internet solution;2020-02-28T03:58:25;false
5;AGP Motorway;2020-02-28T16:10:03;false
6;Maldives Hong Kong hard drive;2020-02-28T03:04:43;false
7;Proactive payment synthesize;2020-02-28T00:47:33;true
8;product real-time;2020-02-28T06:48:16;true
9;transmitting;2020-02-27T22:10:02;false
10;Kyat Consultant Fish;2020-02-27T20:18:43;false
