@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,27,0,135,0,1,1,0.166667,1,0.833333,0.285714,1,1,0
1,27,0,126,9,0.933333,1,0.176471,1,0.823529,0.3,0.944444,1.058824,0
2,27,0,125,10,0.925926,1,0.177632,1,0.822368,0.301676,0.938272,1.065789,0
3,27,0,124,11,0.918519,1,0.178808,1,0.821192,0.303371,0.932099,1.072848,0
4,27,0,123,12,0.911111,1,0.18,1,0.82,0.305085,0.925926,1.08,0
5,27,0,122,13,0.903704,1,0.181208,1,0.818792,0.306818,0.919753,1.087248,0
6,27,0,121,14,0.896296,1,0.182432,1,0.817568,0.308571,0.91358,1.094595,0
7,27,0,120,15,0.888889,1,0.183673,1,0.816327,0.310345,0.907407,1.102041,0
8,27,0,119,16,0.881481,1,0.184932,1,0.815068,0.312139,0.901235,1.109589,0
9,27,0,118,17,0.874074,1,0.186207,1,0.813793,0.313953,0.895062,1.117241,0
10,27,0,117,18,0.866667,1,0.1875,1,0.8125,0.315789,0.888889,1.125,0
11,27,0,116,19,0.859259,1,0.188811,1,0.811189,0.317647,0.882716,1.132867,0
12,27,0,115,20,0.851852,1,0.190141,1,0.809859,0.319527,0.876543,1.140845,0
13,27,0,114,21,0.844444,1,0.191489,1,0.808511,0.321429,0.87037,1.148936,0
14,27,0,113,22,0.837037,1,0.192857,1,0.807143,0.323353,0.864198,1.157143,0
15,27,0,112,23,0.82963,1,0.194245,1,0.805755,0.325301,0.858025,1.165468,0
16,27,0,111,24,0.822222,1,0.195652,1,0.804348,0.327273,0.851852,1.173913,0
17,27,0,110,25,0.814815,1,0.19708,1,0.80292,0.329268,0.845679,1.182482,0
18,27,0,109,26,0.807407,1,0.198529,1,0.801471,0.331288,0.839506,1.191176,0
19,27,0,108,27,0.8,1,0.2,1,0.8,0.333333,0.833333,1.2,0
20,27,0,107,28,0.792593,1,0.201493,1,0.798507,0.335404,0.82716,1.208955,0
21,27,0,106,29,0.785185,1,0.203008,1,0.796992,0.3375,0.820988,1.218045,0
22,27,0,105,30,0.777778,1,0.204545,1,0.795455,0.339623,0.814815,1.227273,0
23,27,0,104,31,0.77037,1,0.206107,1,0.793893,0.341772,0.808642,1.236641,0
24,27,0,103,32,0.762963,1,0.207692,1,0.792308,0.343949,0.802469,1.246154,0
25,27,0,102,33,0.755556,1,0.209302,1,0.790698,0.346154,0.796296,1.255814,0
26,27,0,101,34,0.748148,1,0.210938,1,0.789063,0.348387,0.790123,1.265625,0
27,27,0,100,35,0.740741,1,0.212598,1,0.787402,0.350649,0.783951,1.275591,0
28,27,0,99,36,0.733333,1,0.214286,1,0.785714,0.352941,0.777778,1.285714,0
29,27,0,98,37,0.725926,1,0.216,1,0.784,0.355263,0.771605,1.296,0
30,27,0,97,38,0.718519,1,0.217742,1,0.782258,0.357616,0.765432,1.306452,0
31,27,0,96,39,0.711111,1,0.219512,1,0.780488,0.36,0.759259,1.317073,0
32,27,0,95,40,0.703704,1,0.221311,1,0.778689,0.362416,0.753086,1.327869,0
33,27,0,94,41,0.696296,1,0.22314,1,0.77686,0.364865,0.746914,1.338843,0
34,27,0,93,42,0.688889,1,0.225,1,0.775,0.367347,0.740741,1.35,0
35,27,0,92,43,0.681481,1,0.226891,1,0.773109,0.369863,0.734568,1.361345,0
36,27,0,91,44,0.674074,1,0.228814,1,0.771186,0.372414,0.728395,1.372881,0
37,27,0,90,45,0.666667,1,0.230769,1,0.769231,0.375,0.722222,1.384615,0
38,27,0,89,46,0.659259,1,0.232759,1,0.767241,0.377622,0.716049,1.396552,0
39,27,0,88,47,0.651852,1,0.234783,1,0.765217,0.380282,0.709877,1.408696,0
40,27,0,87,48,0.644444,1,0.236842,1,0.763158,0.382979,0.703704,1.421053,0
41,27,0,86,49,0.637037,1,0.238938,1,0.761062,0.385714,0.697531,1.433628,0
42,27,0,85,50,0.62963,1,0.241071,1,0.758929,0.388489,0.691358,1.446429,0
43,27,0,84,51,0.622222,1,0.243243,1,0.756757,0.391304,0.685185,1.459459,0
44,27,0,83,52,0.614815,1,0.245455,1,0.754545,0.394161,0.679012,1.472727,0
45,27,0,82,53,0.607407,1,0.247706,1,0.752294,0.397059,0.67284,1.486239,0
46,27,0,81,54,0.6,1,0.25,1,0.75,0.4,0.666667,1.5,0
47,27,0,80,55,0.592593,1,0.252336,1,0.747664,0.402985,0.660494,1.514019,0
48,27,0,79,56,0.585185,1,0.254717,1,0.745283,0.406015,0.654321,1.528302,0
49,27,0,78,57,0.577778,1,0.257143,1,0.742857,0.409091,0.648148,1.542857,0
50,27,0,77,58,0.57037,1,0.259615,1,0.740385,0.412214,0.641975,1.557692,0
51,27,0,75,60,0.555556,1,0.264706,1,0.735294,0.418605,0.62963,1.588235,0
52,27,0,74,61,0.548148,1,0.267327,1,0.732673,0.421875,0.623457,1.60396,0
53,27,0,73,62,0.540741,1,0.27,1,0.73,0.425197,0.617284,1.62,0
54,27,0,72,63,0.533333,1,0.272727,1,0.727273,0.428571,0.611111,1.636364,0
55,27,0,71,64,0.525926,1,0.27551,1,0.72449,0.432,0.604938,1.653061,0
56,27,0,70,65,0.518519,1,0.278351,1,0.721649,0.435484,0.598765,1.670103,0
57,27,0,69,66,0.511111,1,0.28125,1,0.71875,0.439024,0.592593,1.6875,0
58,27,0,68,67,0.503704,1,0.284211,1,0.715789,0.442623,0.58642,1.705263,0
59,27,0,67,68,0.496296,1,0.287234,1,0.712766,0.446281,0.580247,1.723404,0
