id;tipo_prueba;nombre;codigo
1;PUNTOS_DE_CORTE;neural-net Gourde US Dollar bluetooth;Awesome Steel Chips synergies
2;TAVEC;HDD Awesome Maine;Legacy aggregate
3;NEURONORMA;Rustic Fresh Fish generate Dynamic;Checking Account
4;NEURONORMA;cross-platform tan;Gorgeous back up Corporate
5;PUNTOS_DE_CORTE;24/7 Corporate;website monitor Home Loan Account
6;TAVEC;Berkshire Isle Trail;6th generation
7;TAVEC;bypassing sexy;calculating systems
8;MMSE;PNG Iranian Rial;ADP
9;MMSE;Rubber Personal Loan Account;transmit
10;TAVEC;Ergonomic Frozen Bacon;platforms
